,tweet_id,text,favorite_count,retweet_count,created_at
83,1387810162803572738,"@XaraTheGreatCat @OpIndia_com If it answers your question, know that I'm going to opt for #Covaxin when I get vaccinated.",1,0,Thu Apr 29 16:45:01 +0000 2021
84,1387810153395851269,"RT @NARENDER1970: आज #Covaxin का दूसरा डोज़ भी ले लिया. आप सब भी कोरोना को हराने में अपना योगदान दें. सावधानी से रहें, मास्क जरूर पहनें, शा…",0,35,Thu Apr 29 16:44:59 +0000 2021
85,1387810148987641860,https://t.co/gm97tGO1df,0,0,Thu Apr 29 16:44:58 +0000 2021
86,1387810144562515968,RT @lkantbhardwaj: *AMERICA’S TOP EXPERT DR ANTHONY FAUCI GIVES BHARAT BIOTECH’S COVAXIN THUMBS UP-WILL VACCINE DOUBTERS APOLOGISE?* #TeamS…,0,67,Thu Apr 29 16:44:57 +0000 2021
87,1387810138304630786,"RT @elmihiro: Shocked to know that Covaxin was studied by its developer and India’s apex body for medical research. 

Instead it should hav…",0,507,Thu Apr 29 16:44:55 +0000 2021
88,1387810126619242497,RT @samal_deepti: ये BJP का Vaccine है बोल के कुछ विपक्षी पार्टी लोगों को लगवाने मना कर रहे थे जैसे कि Vaccine उनके पार्टी office मे तयार…,0,14,Thu Apr 29 16:44:53 +0000 2021
89,1387810118448783361,"RT @hmtvnewslive: టీకా ధర 200 తగ్గించిన భారత్ బయోటెక్ - Bharat Biotech reduced the COVAXIN Vaccine Price by 200 | hmtvnewslive 

#CovaxinPr…",0,1,Thu Apr 29 16:44:51 +0000 2021
90,1387810108026105856,RT @sudhirchaudhary: .⁦@BharatBiotech⁩ announces the reduced price of COVAXIN from ₹600 to ₹400 per dose for state governments. https://t.c…,0,359,Thu Apr 29 16:44:48 +0000 2021
91,1387810101545771008,RT @htTweets: #BharatBiotech decides to reduce the price of its COVID-19 vaccine #Covaxin from Rs 600 per dose to Rs 400 per dose for the s…,0,5,Thu Apr 29 16:44:47 +0000 2021
92,1387810087088005124,RT @ANI: We had placed orders for purchase Covishield &amp; Covaxin vaccines. But manufacturers of both vaccines have said that they won't be a…,0,236,Thu Apr 29 16:44:43 +0000 2021
93,1387810062882639877,"RT @BharatBiotech: Bharat Biotech - COVAXIN® Announcement - April 29, 2021 https://t.co/RgnROIfUCe",0,1902,Thu Apr 29 16:44:37 +0000 2021
94,1387810060605165572,RT @ANI: We had placed orders for purchase Covishield &amp; Covaxin vaccines. But manufacturers of both vaccines have said that they won't be a…,0,236,Thu Apr 29 16:44:37 +0000 2021
95,1387810058340388867,"@mailvijee @RKRadhakrishn @narendramodi @adarpoonawalla Though literate, can't you fact check the root of covaxin invention SIR",0,0,Thu Apr 29 16:44:36 +0000 2021
96,1387810047913172993,RT @ArtiDub34797261: भारत में बनी कोवैक्सिन कोविड-19 के 617 वेरिएंट्स को बेअसर करने में सक्षम : अमेरिका के टॉप मेडिकल एडवाइजर डॉ एंथोनी फाउ…,0,19,Thu Apr 29 16:44:34 +0000 2021
97,1387810037679071234,RT @ANI: We had placed orders for purchase Covishield &amp; Covaxin vaccines. But manufacturers of both vaccines have said that they won't be a…,0,236,Thu Apr 29 16:44:31 +0000 2021
98,1387810026195066882,"RT @ETimesLifestyle: Covaxin vs Covishield: Here's everything you must know about the two vaccines https://t.co/jGQKhJcniG

#CovidVaccine #…",0,15,Thu Apr 29 16:44:29 +0000 2021
99,1387810024081305609,"RT @jmiltonrosa: A compra da vacina indiana Covaxin tem treta. O contrato de 20 milhões de doses (R$ 1,61 bilhão), negociado por Pazuello,…",0,228,Thu Apr 29 16:44:28 +0000 2021
